Vendor,Report Period,TSC,CUEC,ACME Mapping,Status,Notes
{{DATA_STORE}},2025-04-01 to 2026-03-31,"CC 6.1, C 1.1",Understand classification of data uploaded; confirm controls provide adequate protection,Information Classification Policy §2 (Restricted),Confirmed,Customer AI conversation data is Restricted per our classification
{{DATA_STORE}},2025-04-01 to 2026-03-31,"CC 6.1, CC 6.2, CC 6.3",Identify/authorize/review/remove access to {{DATA_STORE}} account incl. API keys,"AC-04, AC-07, AC-09 / Access Control Matrix",Pending,Confirm ACME users in {{DATA_STORE}} are documented in Access Control Matrix
{{DATA_STORE}},2025-04-01 to 2026-03-31,CC 6.1,Strong passwords for database users,Password Policy,Confirmed,Federated via {{IDP}} where supported; standalone accounts meet Password Policy
{{DATA_STORE}},2025-04-01 to 2026-03-31,"CC 6.1, CC 6.2, CC 6.3",Enforce MFA for all users accessing {{DATA_STORE}} tenant incl. DB admins and service accounts,AC-03 / Access Control Policy §2,Pending,Verify {{DATA_STORE}} user MFA enforcement; if federated to {{IDP}} MFA flows through
{{DATA_STORE}},2025-04-01 to 2026-03-31,"CC 6.1, CC 6.3",Manage service account/machine identity lifecycle; rotate credentials; least-privilege for non-human identities,Access Control Policy §7,Pending,Confirm {{DATA_STORE}} service accounts in Access Control Matrix with rotation cadence
{{DATA_STORE}},2025-04-01 to 2026-03-31,"CC 6.1, CC 6.3",Restrict privileged (admin-level) database access; review periodically,Access Control Policy §4,Pending,{{SECURITY_OWNER}} holds admin access; covered by annual review
{{DATA_STORE}},2025-04-01 to 2026-03-31,CC 6.6,Ensure connect/upload/download methods are secure,Encryption Policy,Confirmed,TLS in transit per Encryption Policy
{{DATA_STORE}},2025-04-01 to 2026-03-31,"CC 7.1, CC 7.2",Periodically review {{DATA_STORE}}-provided audit logs (query/access/admin),Incident Response Policy §1 (logging/alerting),Pending,For Type I design is enough; for Type II would need evidence of review
{{DATA_STORE}},2025-04-01 to 2026-03-31,"CC 7.2, CC 7.3, CC 7.4",Configure own SIEM/alerting for IOCs in tenant — unusual query volumes/large exports/unexpected network locations,IR Policy §1 (alerts),Pending,Currently no tenant-specific SIEM; document as accepted risk or add Cloud Monitoring alert on {{DATA_STORE}} access patterns
{{DATA_STORE}},2025-04-01 to 2026-03-31,"CC 8.1, CC 5.3",Apply change management to schema and config changes within {{DATA_STORE}} environment,Change Management Policy,Pending,Schema changes go through standard PR workflow; confirm documented
{{DATA_STORE}},2025-04-01 to 2026-03-31,A 1.2,Restore from backup for scenarios within customer control (accidental deletion/modification/overwrite),BCP/DR Policy §4 / backup-recovery-runbook.md,Pending,Annual restore test commitment in policy; {{DATA_STORE}} restore step in runbook
{{DATA_STORE}},2025-04-01 to 2026-03-31,"C 1.1, C 1.2, PI 1.5",Set retention schedules; delete data when no longer needed,Data Retention Policy,Confirmed,Retention defined per data category
{{DATA_STORE}},2025-04-01 to 2026-03-31,"PI 1.4, PI 1.5",Verify uploaded data is complete and accurate,N/A,N/A,Out of scope — PI TSC not in ACME audit scope
{{DATA_STORE}},2025-04-01 to 2026-03-31,CC 6.1 (BYOC only),Customer-managed encryption key management,N/A,N/A,Not using BYOC; standard {{DATA_STORE}}
{{MODEL_PROVIDER}},2025-01-01 to 2025-06-30,CC2.3,User entities are expected to implement controls to comply with their contractual obligations to {{MODEL_PROVIDER}}.,"Vendor Management Policy; AC-01 (acceptable use); legal review of {{MODEL_PROVIDER}} API Services Agreement, DPA, and Enterprise terms",Pending,Confirm current signed agreement on file and that scope of data sent matches DPA processing instructions
{{MODEL_PROVIDER}},2025-01-01 to 2025-06-30,CC2.3,User entities are expected to implement controls to notify {{MODEL_PROVIDER}} of changes made to the administrative contact information.,Vendor Management Policy; AC-02 (account ownership register),Pending,Confirm {{MODEL_PROVIDER}} workspace admin contact is a current employee and a role-based alias is on file
{{MODEL_PROVIDER}},2025-01-01 to 2025-06-30,"CC2.3, CC7.3-CC7.4",User entities are expected to implement controls to report issues with {{MODEL_PROVIDER}}'s systems and platforms.,IR Policy; AC-15 (vendor incident escalation runbook),Pending,Confirm {{MODEL_PROVIDER}} status page and security contact are referenced in IR runbook for AI-vendor incidents
{{MODEL_PROVIDER}},2025-01-01 to 2025-06-30,CC6.1-CC6.3,"User entities are expected to implement controls to provide reasonable assurance that user access, including provisioning and deprovisioning, are designed appropriately and operating effectively.","Access Control Policy; AC-03 (JML), AC-04 (MFA/SSO), AC-05 (access reviews), AC-08 (API key inventory and rotation), Encryption Policy (key custody)",Pending,"Confirm SSO on {{MODEL_PROVIDER}} workspace, MFA for any local admins, API keys inventoried with owners and rotation cadence, and {{MODEL_PROVIDER}} admins included in quarterly access review"
{{DATA_STORE}},2025-10-01 to 2026-03-31,"Security, Availability, Confidentiality","{{DATA_STORE}} explicitly states no formal CUECs are required: ""complementary user entity controls are not required, or significant, to achieve the principal service commitments and system requirements"" (Section 3, page 22). Shared-responsibility model applies — customer must still fulfill its tenant-side obligations.",N/A — see shared-responsibility rows below,Acknowledged,"No enumerated CUECs in report. The rows that follow are ACME's inferred shared-responsibility obligations under {{DATA_STORE}},  not auditor-asserted CUECs."
{{DATA_STORE}},2025-10-01 to 2026-03-31,Security,Customer is responsible for enforcing MFA on {{DATA_STORE}} organization / project users and managing federated identity (SSO) for {{DATA_STORE}} console access.,Access Control Policy AC-02 / AC-07,Covered,{{DATA_STORE}} org federated to {{IDP}}; MFA enforced via Workspace. Confirm in Access Control Matrix.
{{DATA_STORE}},2025-10-01 to 2026-03-31,Security,Customer is responsible for provisioning and rotating database users (SCRAM / X.509 / AWS-IAM auth credentials) — these are a separate population from {{DATA_STORE}} console users and do not have MFA.,Access Control Policy AC-03 / AC-06,Open,Add database users to Access Control Matrix with rotation cadence; treat as service accounts.
{{DATA_STORE}},2025-10-01 to 2026-03-31,Security,"Customer is responsible for configuring network access to {{DATA_STORE}} clusters via IP allowlist and/or private endpoint ({{CLOUD_PROVIDER}} Private Service Connect or equivalent cloud private link). {{DATA_STORE}} default denies all network traffic.",Access Control Policy AC-17 / Network Security,Open,Document which clusters use IP allowlist vs. private endpoint; verify no 0.0.0.0/0 entries.
