Description,Treatment,Treatment Decision Notes,Impact,Impact Justification,Likelihood,Likelihood Justification,Residual Impact,Residual Impact Justifcation,Residual Likelihood,Residual Likelihood Justification,Owner Email,Categories
"Within a customer tenant, prompt injection or jailbreak causes an agent to take unintended tool actions or surface sensitive data via model output. Single-tenant deployments architecturally prevent cross-tenant data exposure.",Mitigate,"Emerging risk category. Mitigations are evolving per industry guidance (OWASP LLM Top 10, NIST AI RMF). Active monitoring and threat modeling are appropriate.",3,Cross-tenant data leakage via model behavior would be a customer trust event and potentially a breach notification trigger.,2,Prompt injection and jailbreak techniques are widely published. The AI threat landscape is active and evolving.,1,Single-tenant deployments architecturally prevent cross-tenant exposure. {{MODEL_PROVIDER}} zero-retention prevents model fine-tuning leakage. Blast radius is contained to a single customer if exploited.,2,AI threat landscape is less mature than conventional appsec. Defensive controls continue to mature in line with industry guidance.,{{OWNER_EMAIL}},Information Security / AI
Targeted or opportunistic phishing succeeds at obtaining an employee credential or MFA factor.,Mitigate,Phishing remains a realistic vector even with MFA. Training is high-leverage and low-cost.,3,"Successful phishing could grant access to {{CLOUD_PROVIDER}}, {{DATA_STORE}}, or {{VCS}} depending on the target.",1,"Phishing campaigns against SaaS employees are constant. Volume and sophistication continue to rise, but {{IDP}} account takeover and phishing protections are world class. ",1,Phishing-resistant MFA blocks credential phishing for protected accounts. Least-privilege limits damage if a non-privileged account is compromised.,1,Advanced phishing techniques may bypass some MFA factors. Sophisticated attackers remain a residual concern even with strong controls. Risk closes out with passkeys or phishing-resistant MFA on federated IdP platform,{{OWNER_EMAIL}},Information Security
"Subprocessor (AI provider, cloud platform, database) suffers a breach exposing ACME customer data they process.",Accept,Vendor breach risk is inherent to SaaS dependencies. Self-hosting would not be cost-justified relative to residual risk,3,"Breach at {{MODEL_PROVIDER}}, {{CLOUD_PROVIDER}}, {{DATA_STORE}}, or {{DATA_STORE}} could expose ACME customer data they process.",1,Major cloud and AI providers maintain strong security postures. SOC 2 opinions for all critical vendors are clean for the current period.,2,"Even with strong vendor diligence, a major vendor breach would still expose data. No compensating control fully eliminates supply-chain exposure.",1,Annual SOC 2 review and tier-based diligence per Vendor Management Policy. DPA on file for processors of customer data.,{{OWNER_EMAIL}},Vendor / Third-Party
"Financial fraud or management override of controls (BEC, fraudulent invoices, {{SECURITY_OWNER}} bypassing access or change controls for personal benefit).",Mitigate,Out-of-band confirmation for payment changes and PR-based change management are low-cost controls,3,Successful BEC or invoice fraud could divert significant funds.,1,Small team with mutual visibility. CEO and COO share visibility into vendor and financial decisions.,2,Small-team mutual visibility is the strongest natural control but is not infallible. Management override remains a residual exposure that mitigating controls reduce but cannot fully eliminate.,1,Out-of-band or two-person confirmation for vendor payment changes. Annual privileged-access review provides an independent check.,{{OWNER_EMAIL}},Strategic / Financial
"{{SECURITY_OWNER}} as sole owner of security policy, IR, vendor reviews, and access reviews, becomes unavailable (departure, incapacity, leave).",Mitigate,Documentation and CEO break-glass is appropriate for the current organizational scale. Full role redundancy is not cost-justified.,3,"{{SECURITY_OWNER}} unavailability would slow IR, vendor review, and access provisioning until coverage is established.",1,Low base rate. Planned absences are coordinated.,2,Documentation reduces single-point-of-failure. CEO break-glass is partial. Cross-training reduces but does not fully eliminate single-point-of-failure exposure.,1,Policies and procedures are documented and accessible. CEO has alternate access to security@ and break-glass admin.,{{OWNER_EMAIL}},People / Operations
Major {{CLOUD_PROVIDER}} regional outage or managed service incident causes extended downtime beyond the 24h RTO.,Accept,Multi-region active-active is not cost-justified at current scale. 24h RTO is an internal recovery target unless a contract specifies otherwise.,2,24h RTO can absorb most provider incidents. An extended regional outage would affect customer trust but not data integrity.,1,{{CLOUD_PROVIDER}} regional outages are rare and typically short. ACME product is non-life-safety.,1,Managed services restore quickly. Observability data loss is non-blocking for service recovery.,1,{{CLOUD_PROVIDER}} availability track record is strong.,{{OWNER_EMAIL}},Operations / Availability
"Current or departed employee uses retained access to exfiltrate, modify, or expose customer or company data.",Mitigate,Offboarding rigor and access reviews are standard practice. Cost is low.,3,An insider with production access could exfiltrate the full customer dataset or sabotage production.,1,{{TEAM_SIZE}} team with high mutual visibility. Departures are rare and coordinated.,1,Least-privilege limits damage. Offboarding Checklist revokes access within 1 business day of departure.,1,Small team size and tight access controls limit opportunity. Cultural and contractual obligations reinforce these controls.,{{OWNER_EMAIL}},Information Security
"Repository accidentally made public, {{VCS}} Actions secrets leaked in logs, database, or {{CLOUD_PROVIDER}} Storage bucket configured public.",Mitigate,IaC and PR review convert most misconfig risk to a code review problem rather than an ad-hoc operational risk.,2,Public repo or open bucket could expose source code depending on what was misconfigured.,2,Misconfiguration is the most common cause of cloud data exposure incidents industry-wide.,1,"Encryption at rest, branch protection, secret scanning, and push protection add depth. Even if an artifact is exposed, useful secret extraction requires further work.",1,IaC-managed config and PR review reduce human-error misconfigs. Secret scanning catches credentials before push.,{{OWNER_EMAIL}},Information Security
Third-party dependency vulnerability is exploited or supply chain attack injects malicious code into production builds.,Mitigate,Automated scanning is low cost. Patching cadence is the operational cost.,2,Exploited dependency vulnerability could lead to RCE in ACME application. Supply chain attack could inject malicious code into production builds.,2,Critical vulnerabilities in popular packages are disclosed regularly. Supply chain attacks are increasing.,1,Containerized runtime limits blast radius. Managed databases are not directly exposed.,1,Automated dependency scanning is enabled. PR scanning blocks merges with known critical CVEs. Patch timelines follow the Patch Management Policy.,{{OWNER_EMAIL}},Information Security
"Company laptop is lost, stolen, or compromised while holding credentials.",Mitigate,Full-disk encryption and password controls are standard endpoint hygiene.,3,A compromised laptop with active session tokens could grant short-window access to production systems.,1,Devices are securely configured and are not routinely left in unattended public spaces.,1,Session tokens are short-lived. Production access requires MFA.,1,"Full-disk encryption, passwords, and screen lock close the realistic loss vector quickly.",{{OWNER_EMAIL}},Information Security
